iter	Passed	Remaining
0	140	140773
1	141	70549
2	141	47136
3	142	35474
4	142	28453
5	143	23759
6	144	20446
7	144	17928
8	145	15995
9	145	14442
10	146	13173
11	147	12112
12	147	11219
13	148	10442
14	148	9779
15	149	9194
16	150	8676
17	150	8215
18	151	7802
19	151	7429
20	152	7095
21	152	6791
22	153	6511
23	153	6253
24	154	6020
25	155	5808
26	155	5606
27	156	5418
28	156	5243
29	157	5081
30	157	4928
31	158	4784
32	158	4650
33	159	4525
34	159	4406
35	160	4294
36	160	4189
37	161	4091
38	162	3996
39	162	3906
40	163	3820
41	163	3738
42	164	3662
43	165	3586
44	165	3515
45	166	3448
46	166	3383
47	167	3324
48	168	3264
49	168	3206
50	169	3150
51	169	3098
52	170	3047
53	171	2997
54	171	2950
55	172	2906
56	173	2862
57	173	2821
58	174	2778
59	174	2736
60	175	2695
61	175	2656
62	176	2618
63	176	2582
64	177	2546
65	177	2511
66	177	2477
67	178	2442
68	178	2411
69	179	2382
70	179	2354
71	180	2325
72	180	2297
73	181	2270
74	181	2243
75	182	2217
76	182	2191
77	183	2166
78	183	2142
79	184	2118
80	184	2096
81	185	2073
82	186	2055
83	186	2034
84	186	2012
85	187	1992
86	187	1971
87	188	1952
88	188	1933
89	189	1914
90	189	1896
91	190	1878
92	190	1860
93	191	1843
94	192	1829
95	192	1813
96	193	1798
97	193	1782
98	194	1767
99	194	1752
100	195	1737
101	195	1720
102	195	1705
103	196	1691
104	196	1677
105	197	1663
106	197	1650
107	198	1638
108	198	1626
109	199	1613
110	199	1600
111	200	1588
112	200	1575
113	201	1564
114	201	1552
115	202	1540
116	202	1529
117	203	1518
118	203	1506
119	204	1497
120	204	1487
121	205	1477
122	205	1465
123	206	1455
124	206	1446
125	207	1436
126	207	1427
127	207	1416
128	208	1407
129	208	1397
130	209	1388
131	209	1379
132	210	1371
133	211	1364
134	211	1356
135	212	1348
136	212	1340
137	213	1331
138	213	1323
139	214	1315
140	214	1307
141	215	1299
142	215	1291
143	215	1283
144	216	1277
145	217	1270
146	217	1263
147	218	1256
148	218	1249
149	219	1241
150	219	1235
151	220	1228
152	220	1221
153	221	1214
154	221	1208
155	222	1201
156	222	1195
157	223	1189
158	223	1183
159	224	1177
160	224	1171
161	225	1165
162	225	1159
163	226	1153
164	226	1147
165	227	1141
166	227	1136
167	228	1130
168	228	1125
169	229	1120
170	230	1115
171	230	1109
172	231	1104
173	231	1099
174	232	1093
175	232	1088
176	233	1084
177	233	1078
178	234	1073
179	234	1068
180	234	1062
181	235	1058
182	236	1053
183	236	1049
184	237	1044
185	237	1039
186	238	1035
187	238	1030
188	239	1026
189	239	1021
190	240	1017
191	240	1012
192	241	1008
193	241	1004
194	242	1000
195	242	996
196	243	992
197	243	987
198	244	983
199	244	979
200	245	974
201	245	970
202	246	966
203	246	962
204	247	958
205	247	954
206	248	950
207	248	947
208	249	944
209	249	940
210	250	936
211	250	932
212	251	928
213	251	925
214	252	921
215	252	917
216	253	913
217	253	910
218	254	906
219	254	903
220	255	900
221	255	896
222	256	893
223	256	889
224	257	886
225	257	882
226	258	879
227	258	875
228	259	872
229	259	869
230	260	865
231	260	862
232	261	859
233	261	856
234	262	853
235	262	850
236	263	847
237	263	844
238	264	841
239	264	838
240	265	835
241	265	832
242	266	829
243	266	826
244	267	823
245	267	821
246	268	818
247	268	815
248	269	812
249	269	809
250	270	806
251	270	803
252	271	801
253	271	798
254	272	795
255	272	792
256	273	790
257	274	788
258	274	785
259	275	783
260	275	780
261	276	777
262	276	775
263	277	772
264	277	770
265	278	767
266	278	764
267	279	762
268	279	759
269	280	757
270	280	755
271	281	752
272	281	750
273	282	747
274	282	745
275	283	742
276	283	740
277	284	738
278	284	735
279	285	733
280	285	730
281	286	728
282	286	727
283	287	724
284	287	722
285	288	719
286	288	717
287	289	715
288	289	712
289	290	710
290	290	708
291	291	706
292	291	703
293	292	701
294	292	699
295	293	697
296	293	695
297	294	693
298	294	691
299	295	688
300	295	686
301	296	684
302	296	682
303	297	680
304	297	678
305	298	676
306	298	674
307	299	672
308	299	670
309	300	668
310	300	666
311	301	664
312	301	662
313	302	660
314	302	658
315	303	655
316	303	653
317	303	651
318	304	649
319	304	648
320	305	646
321	306	644
322	306	642
323	307	640
324	307	638
325	308	637
326	308	635
327	309	633
328	309	631
329	310	630
330	310	628
331	311	626
332	312	624
333	312	623
334	313	621
335	313	619
336	314	617
337	314	616
338	314	614
339	315	612
340	316	610
341	316	608
342	316	607
343	317	605
344	318	603
345	318	602
346	319	601
347	319	599
348	320	597
349	320	595
350	321	594
351	321	592
352	322	590
353	322	589
354	323	587
355	323	585
356	324	583
357	324	582
358	325	580
359	325	579
360	326	577
361	326	575
362	327	574
363	327	572
364	328	570
365	328	569
366	329	567
367	329	566
368	330	564
369	330	563
370	331	561
371	331	560
372	332	558
373	332	557
374	333	555
375	333	554
376	334	552
377	334	550
378	335	549
379	335	547
380	336	546
381	336	544
382	337	543
383	337	541
384	338	540
385	339	539
386	339	537
387	339	536
388	340	534
389	341	533
390	341	531
391	341	530
392	342	529
393	343	527
394	343	526
395	344	525
396	344	523
397	345	522
398	345	521
399	346	519
400	346	518
401	347	516
402	348	515
403	348	514
404	349	512
405	349	511
406	350	510
407	350	508
408	351	507
409	351	506
410	352	504
411	352	503
412	353	502
413	353	500
414	354	499
415	354	497
416	355	496
417	355	495
418	356	493
419	356	492
420	357	491
421	357	490
422	358	488
423	358	487
424	359	486
425	359	484
426	360	483
427	360	482
428	361	480
429	361	479
430	362	478
431	362	477
432	363	475
433	363	474
434	364	473
435	364	471
436	365	470
437	365	469
438	366	467
439	366	466
440	367	465
441	367	464
442	368	463
443	368	461
444	369	460
445	369	459
446	370	458
447	371	457
448	371	456
449	372	454
450	372	453
451	373	452
452	373	451
453	374	450
454	375	449
455	375	448
456	376	447
457	376	445
458	377	444
459	377	443
460	378	442
461	379	441
462	379	440
463	379	438
464	380	437
465	380	436
466	381	435
467	381	434
468	382	432
469	382	431
470	383	430
471	383	429
472	384	428
473	384	427
474	385	426
475	385	424
476	386	423
477	387	422
478	387	421
479	388	420
480	388	419
481	388	418
482	389	416
483	389	415
484	390	414
485	390	413
486	391	412
487	391	410
488	392	409
489	392	408
490	393	407
491	393	406
492	394	405
493	394	404
494	395	402
495	395	401
496	395	400
497	396	399
498	396	398
499	397	397
500	397	396
501	398	395
502	398	393
503	399	392
504	399	391
505	400	390
506	400	389
507	401	388
508	401	387
509	402	386
510	402	385
511	402	384
512	403	382
513	403	381
514	404	380
515	404	379
516	405	378
517	405	377
518	406	376
519	406	375
520	407	374
521	407	373
522	408	372
523	408	371
524	409	370
525	409	369
526	410	368
527	410	367
528	411	366
529	411	365
530	412	364
531	412	362
532	413	361
533	413	360
534	413	359
535	414	358
536	414	357
537	415	356
538	415	355
539	416	354
540	416	353
541	417	352
542	417	351
543	418	350
544	418	349
545	419	348
546	419	347
547	419	346
548	420	345
549	421	344
550	421	343
551	421	342
552	422	341
553	422	340
554	423	339
555	423	338
556	424	337
557	424	336
558	425	335
559	425	334
560	426	333
561	426	332
562	427	331
563	427	330
564	428	329
565	428	328
566	429	327
567	429	326
568	429	325
569	430	324
570	430	323
571	431	322
572	431	321
573	432	320
574	432	319
575	433	318
576	433	318
577	434	317
578	434	316
579	435	315
580	435	314
581	436	313
582	436	312
583	437	311
584	437	310
585	438	309
586	438	308
587	439	307
588	439	306
589	440	306
590	440	305
591	441	304
592	441	303
593	442	302
594	442	301
595	443	300
596	443	299
597	444	298
598	444	297
599	445	296
600	445	295
601	446	294
602	446	294
603	447	293
604	447	292
605	448	291
606	448	290
607	448	289
608	449	288
609	449	287
610	450	286
611	450	285
612	451	284
613	451	284
614	452	283
615	452	282
616	453	281
617	453	280
618	454	279
619	454	278
620	455	277
621	455	276
622	456	276
623	456	275
624	457	274
625	457	273
626	457	272
627	458	271
628	458	270
629	459	269
630	459	268
631	460	268
632	460	267
633	461	266
634	461	265
635	462	264
636	462	263
637	463	262
638	463	261
639	464	261
640	464	260
641	465	259
642	465	258
643	465	257
644	466	256
645	466	255
646	467	255
647	467	254
648	468	253
649	468	252
650	469	251
651	469	250
652	470	249
653	470	249
654	471	248
655	471	247
656	472	246
657	472	245
658	473	244
659	473	243
660	474	243
661	474	242
662	474	241
663	475	240
664	475	239
665	476	238
666	476	238
667	477	237
668	477	236
669	478	235
670	478	234
671	479	233
672	479	233
673	480	232
674	480	231
675	481	230
676	481	229
677	482	229
678	482	228
679	483	227
680	483	226
681	484	225
682	484	224
683	485	224
684	485	223
685	486	222
686	486	221
687	487	220
688	487	220
689	488	219
690	488	218
691	489	217
692	489	216
693	490	216
694	490	215
695	491	214
696	491	213
697	492	212
698	492	212
699	493	211
700	493	210
701	493	209
702	494	208
703	494	208
704	495	207
705	495	206
706	496	205
707	496	204
708	497	204
709	497	203
710	498	202
711	498	201
712	499	200
713	499	200
714	500	199
715	500	198
716	501	197
717	501	197
718	502	196
719	502	195
720	503	194
721	503	193
722	504	193
723	504	192
724	505	191
725	505	190
726	506	190
727	506	189
728	507	188
729	507	187
730	508	187
731	508	186
732	509	185
733	509	184
734	510	183
735	510	183
736	511	182
737	511	181
738	512	180
739	512	180
740	512	179
741	513	178
742	513	177
743	514	176
744	514	176
745	515	175
746	515	174
747	516	173
748	516	173
749	517	172
750	517	171
751	518	170
752	518	170
753	519	169
754	519	168
755	520	167
756	520	167
757	520	166
758	521	165
759	522	164
760	522	164
761	523	163
762	523	162
763	524	161
764	524	161
765	525	160
766	526	159
767	526	159
768	527	158
769	527	157
770	528	156
771	528	156
772	529	155
773	530	154
774	530	154
775	531	153
776	531	152
777	532	151
778	532	151
779	533	150
780	533	149
781	534	149
782	535	148
783	535	147
784	536	146
785	537	146
786	537	145
787	538	144
788	538	144
789	539	143
790	540	142
791	540	141
792	541	141
793	541	140
794	542	139
795	542	139
796	543	138
797	543	137
798	544	136
799	544	136
800	545	135
801	545	134
802	546	134
803	546	133
804	547	132
805	547	131
806	548	131
807	548	130
808	549	129
809	549	128
810	550	128
811	550	127
812	551	126
813	551	126
814	552	125
815	553	124
816	553	123
817	553	123
818	554	122
819	554	121
820	555	121
821	555	120
822	556	119
823	556	118
824	557	118
825	557	117
826	558	116
827	558	116
828	559	115
829	559	114
830	560	113
831	560	113
832	561	112
833	561	111
834	562	111
835	562	110
836	563	109
837	563	109
838	564	108
839	564	107
840	565	106
841	565	106
842	566	105
843	566	104
844	567	104
845	567	103
846	568	102
847	568	101
848	569	101
849	569	100
850	570	99
851	570	99
852	571	98
853	571	97
854	572	97
855	572	96
856	573	95
857	573	94
858	574	94
859	574	93
860	575	92
861	575	92
862	576	91
863	576	90
864	577	90
865	577	89
866	578	88
867	578	88
868	579	87
869	579	86
870	580	85
871	580	85
872	581	84
873	581	83
874	582	83
875	582	82
876	583	81
877	584	81
878	584	80
879	585	79
880	585	79
881	586	78
882	586	77
883	587	77
884	587	76
885	588	75
886	588	75
887	589	74
888	589	73
889	590	72
890	590	72
891	591	71
892	591	70
893	592	70
894	592	69
895	593	68
896	593	68
897	594	67
898	594	66
899	595	66
900	595	65
901	596	64
902	596	64
903	597	63
904	598	62
905	598	62
906	599	61
907	599	60
908	599	60
909	600	59
910	600	58
911	601	58
912	601	57
913	602	56
914	602	56
915	603	55
916	604	54
917	604	53
918	604	53
919	605	52
920	606	51
921	606	51
922	607	50
923	607	49
924	607	49
925	608	48
926	609	47
927	609	47
928	610	46
929	610	45
930	611	45
931	611	44
932	612	43
933	612	43
934	612	42
935	613	41
936	613	41
937	614	40
938	614	39
939	615	39
940	616	38
941	616	37
942	617	37
943	617	36
944	617	35
945	618	35
946	618	34
947	619	33
948	619	33
949	620	32
950	621	32
951	621	31
952	622	30
953	622	30
954	623	29
955	623	28
956	624	28
957	624	27
958	625	26
959	625	26
960	626	25
961	626	24
962	627	24
963	627	23
964	628	22
965	628	22
966	629	21
967	629	20
968	630	20
969	630	19
970	631	18
971	631	18
972	632	17
973	632	16
974	633	16
975	633	15
976	634	14
977	634	14
978	635	13
979	635	12
980	636	12
981	636	11
982	637	11
983	637	10
984	638	9
985	638	9
986	639	8
987	639	7
988	640	7
989	640	6
990	641	5
991	642	5
992	642	4
993	643	3
994	643	3
995	644	2
996	644	1
997	645	1
998	646	0
999	646	0
